nohup: ignoring input
Starting Power Logger...
2026-02-07 11:04:09.985801: 5323
2026-02-07 11:04:10.987443: 5323
2026-02-07 11:04:11.989089: 5223
2026-02-07 11:04:12.990717: 5323
2026-02-07 11:04:13.992372: 5223
2026-02-07 11:04:14.994047: 5122
2026-02-07 11:04:15.995703: 5323
2026-02-07 11:04:16.997347: 5223
2026-02-07 11:04:17.999002: 5707
2026-02-07 11:04:19.000657: 5323
2026-02-07 11:04:20.002307: 5323
2026-02-07 11:04:21.004113: 5323
2026-02-07 11:04:22.005783: 5323
2026-02-07 11:04:23.007428: 5223
2026-02-07 11:04:24.009104: 5223
2026-02-07 11:04:25.010740: 5323
2026-02-07 11:04:26.012380: 5223
2026-02-07 11:04:27.014048: 5223
2026-02-07 11:04:28.015722: 5323
2026-02-07 11:04:29.017378: 5323
2026-02-07 11:04:30.019033: 5323
2026-02-07 11:04:31.020718: 5323
2026-02-07 11:04:32.022379: 5707
2026-02-07 11:04:33.024095: 5323
2026-02-07 11:04:34.025769: 5323
2026-02-07 11:04:35.027061: 5323
2026-02-07 11:04:36.028730: 5323
2026-02-07 11:04:37.030396: 5323
2026-02-07 11:04:38.032072: 5323
2026-02-07 11:04:39.033716: 5223
2026-02-07 11:04:40.035345: 5323
2026-02-07 11:04:41.037082: 5223
2026-02-07 11:04:42.038734: 5323
2026-02-07 11:04:43.040408: 5323
2026-02-07 11:04:44.042063: 5323
2026-02-07 11:04:45.043716: 5223
2026-02-07 11:04:46.045388: 5323
2026-02-07 11:04:47.047040: 5323
2026-02-07 11:04:48.048699: 5323
2026-02-07 11:04:49.050359: 5323
2026-02-07 11:04:50.052067: 5223
2026-02-07 11:04:51.053719: 5323
2026-02-07 11:04:52.055380: 5323
2026-02-07 11:04:53.056791: 5323
2026-02-07 11:04:54.058437: 5323
2026-02-07 11:04:55.060149: 5323
2026-02-07 11:04:56.061806: 5808
2026-02-07 11:04:57.063522: 5323
2026-02-07 11:04:58.065167: 5323
2026-02-07 11:04:59.066832: 5323
2026-02-07 11:05:00.067950: 5223
2026-02-07 11:05:01.069608: 6190
2026-02-07 11:05:02.071281: 5707
2026-02-07 11:05:03.072926: 5323
2026-02-07 11:05:04.074591: 5222
2026-02-07 11:05:05.076244: 5323
2026-02-07 11:05:06.077894: 5323
2026-02-07 11:05:07.079479: 5323
2026-02-07 11:05:08.081137: 5323
2026-02-07 11:05:09.082809: 5223
